currentRank,__typename,node.episodes.episodes.total,node.episodes.episodes.__typename,node.episodes.__typename,node.id,node.titleText.text,node.titleText.__typename,node.titleType.id,node.titleType.text,node.titleType.canHaveEpisodes,node.titleType.displayableProperty.value.plainText,node.titleType.displayableProperty.value.__typename,node.titleType.displayableProperty.__typename,node.titleType.__typename,node.originalTitleText.text,node.originalTitleText.__typename,node.primaryImage.id,node.primaryImage.width,node.primaryImage.height,node.primaryImage.url,node.primaryImage.caption.plainText,node.primaryImage.caption.__typename,node.primaryImage.__typename,node.releaseYear.year,node.releaseYear.endYear,node.releaseYear.__typename,node.ratingsSummary.aggregateRating,node.ratingsSummary.voteCount,node.ratingsSummary.__typename,node.runtime.seconds,node.runtime.__typename,node.certificate.rating,node.certificate.__typename,node.canRate.isRatable,node.canRate.__typename,node.titleGenres.genres,node.titleGenres.__typename,node.canHaveEpisodes,node.plot.plotText.plainText,node.plot.plotText.__typename,node.plot.__typename,node.latestTrailer.id,node.latestTrailer.__typename,node.series,node.releaseDate.day,node.releaseDate.month,node.releaseDate.year,node.releaseDate.__typename,node.productionStatus.currentProductionStage.id,node.productionStatus.currentProductionStage.text,node.productionStatus.currentProductionStage.__typename,node.productionStatus.__typename,node.__typename,node.latestTrailer,node.certificate,node.runtime
1,ChartTitleEdge,62,EpisodeConnection,Episodes,tt0903747,Breaking Bad,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Breaking Bad,TitleText,rm3116305665,2000,3000,https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_.jpg,Bryan Cranston in Breaking Bad (2008),Markdown,Image,2008,2013.0,YearRange,9.5,2291436,RatingsSummary,2700.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Thriller', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,Markdown,Plot,vi547929369,Video,,20.0,1.0,2008,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
2,ChartTitleEdge,6,EpisodeConnection,Episodes,tt5491994,Planet Earth II,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Planet Earth II,TitleText,rm1474824705,1000,1426,https://m.media-amazon.com/images/M/MV5BMzY4NDBkMWYtYzdkYy00YzBjLWJmODctMWM4YjYzZTdjNWE5XkEyXkFqcGc@._V1_.jpg,Planet Earth II (2016),Markdown,Image,2016,2016.0,YearRange,9.4,165393,RatingsSummary,3000.0,Runtime,TV-G,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Markdown,Plot,vi2095757337,Video,,18.0,2.0,2017,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
3,ChartTitleEdge,11,EpisodeConnection,Episodes,tt0795176,Planet Earth,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Planet Earth,TitleText,rm1491601921,1000,1426,https://m.media-amazon.com/images/M/MV5BY2NjNDUzOTgtMDFmNC00ZGQ4LWE5MDctMzczNGVlOGU1N2MyXkEyXkFqcGc@._V1_.jpg,Planet Earth (2006),Markdown,Image,2006,2006.0,YearRange,9.4,226363,RatingsSummary,3000.0,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Family', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",Markdown,Plot,vi3299327257,Video,,25.0,3.0,2007,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
4,ChartTitleEdge,10,EpisodeConnection,Episodes,tt0185906,Band of Brothers,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Band of Brothers,TitleText,rm2733115905,1000,1426,https://m.media-amazon.com/images/M/MV5BMTQ3NTdmOTEtZTRmMi00NTg5LWI5NmUtYTNiOTc0ZmNkODU0XkEyXkFqcGc@._V1_.jpg,"Scott Grimes, Damian Lewis, Ron Livingston, Shane Taylor, and Peter Youngblood Hills in Band of Brothers (2001)",Markdown,Image,2001,2001.0,YearRange,9.4,555817,RatingsSummary,3600.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",Markdown,Plot,vi3993287961,Video,,9.0,9.0,2001,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
5,ChartTitleEdge,5,EpisodeConnection,Episodes,tt7366338,Chernobyl,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Chernobyl,TitleText,rm3716639745,2000,3000,https://m.media-amazon.com/images/M/MV5BMmQ0Y2JiM2EtOWIwMy00MWVjLTgxZDctZTQzOWU3ODkzMWY4XkEyXkFqcGc@._V1_.jpg,Chernobyl (2019),Markdown,Image,2019,2019.0,YearRange,9.3,933429,RatingsSummary,3600.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Thriller', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.",Markdown,Plot,vi3769613849,Video,,6.0,5.0,2019,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
6,ChartTitleEdge,60,EpisodeConnection,Episodes,tt0306414,The Wire,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Wire,TitleText,rm2076883969,960,1440,https://m.media-amazon.com/images/M/MV5BZWYyNmRhYjktNjBhNC00M2NhLWEzYmMtZDYwNmIyZTRiZWMzXkEyXkFqcGc@._V1_.jpg,The Wire (2002),Markdown,Image,2002,2008.0,YearRange,9.3,398954,RatingsSummary,3600.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Thriller', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Markdown,Plot,vi501988377,Video,,2.0,6.0,2002,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
7,ChartTitleEdge,62,EpisodeConnection,Episodes,tt0417299,Avatar: The Last Airbender,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Avatar: The Last Airbender,TitleText,rm2799534337,679,1000,https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@._V1_.jpg,"Zach Tyler Eisen, Mae Whitman, and Jack De Sena in Avatar: The Last Airbender (2005)",Markdown,Image,2005,2008.0,YearRange,9.3,399622,RatingsSummary,1380.0,Runtime,TV-Y7-FV,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Markdown,Plot,vi752140569,Video,,21.0,2.0,2005,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
8,ChartTitleEdge,7,EpisodeConnection,Episodes,tt6769208,Blue Planet II,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Blue Planet II,TitleText,rm2177698305,1450,2175,https://m.media-amazon.com/images/M/MV5BNmUwYThjM2UtNTg1Yy00MzRlLThhMmYtNjlmOWU0ZmQxZDA3XkEyXkFqcGc@._V1_.jpg,Blue Planet II (2017),Markdown,Image,2017,2017.0,YearRange,9.3,51125,RatingsSummary,3000.0,Runtime,TV-G,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",Markdown,Plot,vi3313810457,Video,,20.0,1.0,2018,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
9,ChartTitleEdge,86,EpisodeConnection,Episodes,tt0141842,The Sopranos,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Sopranos,TitleText,rm4054074881,1366,2048,https://m.media-amazon.com/images/M/MV5BMjRmMTNiMTQtMDg1ZS00MGM1LWE1MGUtYjEzMGFjNWUzOWRkXkEyXkFqcGc@._V1_.jpg,"Lorraine Bracco, James Gandolfini, Edie Falco, Steven Van Zandt, Dominic Chianese, Robert Iler, Michael Imperioli, Steve Schirripa, Jamie-Lynn Sigler, Tony Sirico, and Aida Turturro in The Sopranos (1999)",Markdown,Image,1999,2007.0,YearRange,9.2,514992,RatingsSummary,3600.0,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",Markdown,Plot,vi970443033,Video,,10.0,1.0,1999,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
10,ChartTitleEdge,13,EpisodeConnection,Episodes,tt2395695,Cosmos: A Spacetime Odyssey,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Cosmos: A Spacetime Odyssey,TitleText,rm3026524416,600,889,https://m.media-amazon.com/images/M/MV5BYTRlMzk0NzctNTI3Ni00N2E2LWJiNGMtMDdlNjk1YWNmMzkyXkEyXkFqcGc@._V1_.jpg,Cosmos: A Spacetime Odyssey (2014),Markdown,Image,2014,2014.0,YearRange,9.2,133481,RatingsSummary,2700.0,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,An exploration of our discovery of the laws of nature and coordinates in space and time.,Markdown,Plot,vi498974233,Video,,9.0,3.0,2014,ReleaseDate,released,Released,ProductionStage,ProductionStatusDetails,Title,,,
